1,4,6:30,7:30,21
3,5,6:30,7:30,32
1,2,7:00,8:00,4
1,3,7:00,8:00,6
2,1,8:00,8:30,91
3,1,8:00,8:30,80
4,1,8:00,8:30,40
5,2,8:00,9:00,31
5,3,8:00,9:00,76
5,4,8:00,10:00,7
4,2,9:00,10:00,8
1,2,10:00,11:00,45
1,3,10:00,11:00,65
2,1,11:00,12:00,49
2,5,11:00,12:00,34
3,1,11:00,12:00,77
3,5,11:00,12:00,48
4,1,11:00,12:00,33
4,5,11:00,12:00,20
1,3,12:00,13:00,15
2,5,14:00,15:00,40
3,5,14:00,15:00,79
2,4,15:00,16:00,8
3,1,15:00,16:00,23
1,2,16:00,16:30,32
4,5,16:00,17:00,32
1,3,16:30,17:00,40
1,4,16:30,17:00,54
1,2,18:00,19:00,40
1,3,18:00,19:00,32
4,1,18:00,19:00,20
2,1,19:00,20:00,21
3,1,19:00,20:00,8
5,2,19:00,20:00,31
5,3,19:00,20:00,93
1,2,20:00,21:00,42
1,3,20:00,21:00,30
1,4,20:00,21:00,19
3,5,20:00,21:00,52
5,2,20:00,21:00,11
5,3,20:00,21:00,39
5,4,20:00,21:00,14
